Type,pi,Machine,Part,User_ID,Time,Date
LOG_ON,counter01,42,9212-03,330,08:27:02,2021-05-21
SHOT,counter01,42,9212-03,330,08:27:09,2021-05-21
SHOT,counter01,42,9212-03,330,08:27:13,2021-05-21
SHOT,counter01,42,9212-03,330,08:27:24,2021-05-21
SHOT,counter01,42,9212-03,330,08:27:30,2021-05-21
SHOT,counter01,42,9212-03,330,08:27:36,2021-05-21
SHOT,counter01,42,9212-03,330,08:27:41,2021-05-21
SHOT,counter01,42,9212-03,330,08:27:45,2021-05-21
SHOT,counter01,42,9212-03,330,08:27:50,2021-05-21
SHOT,counter01,42,9212-03,330,08:27:54,2021-05-21
SHOT,counter01,42,9212-03,330,08:27:58,2021-05-21
SHOT,counter01,42,9212-03,330,08:28:02,2021-05-21
SHOT,counter01,42,9212-03,330,08:28:07,2021-05-21
SHOT,counter01,42,9212-03,330,08:28:11,2021-05-21
SHOT,counter01,42,9212-03,330,08:28:15,2021-05-21
SHOT,counter01,42,9212-03,330,08:28:19,2021-05-21
SHOT,counter01,42,9212-03,330,08:28:23,2021-05-21
SHOT,counter01,42,9212-03,330,08:28:28,2021-05-21
SHOT,counter01,42,9212-03,330,08:28:32,2021-05-21
SHOT,counter01,42,9212-03,330,08:28:36,2021-05-21
SHOT,counter01,42,9212-03,330,08:28:40,2021-05-21
SHOT,counter01,42,9212-03,330,08:28:45,2021-05-21
SHOT,counter01,42,9212-03,330,08:28:49,2021-05-21
SHOT,counter01,42,9212-03,330,08:28:53,2021-05-21
SHOT,counter01,42,9212-03,330,08:28:59,2021-05-21
SHOT,counter01,42,9212-03,330,08:29:03,2021-05-21
SHOT,counter01,42,9212-03,330,08:29:08,2021-05-21
SHOT,counter01,42,9212-03,330,08:29:12,2021-05-21
SHOT,counter01,42,9212-03,330,08:29:16,2021-05-21
SHOT,counter01,42,9212-03,330,08:29:22,2021-05-21
SHOT,counter01,42,9212-03,330,08:29:26,2021-05-21
SHOT,counter01,42,9212-03,330,08:29:31,2021-05-21
SHOT,counter01,42,9212-03,330,08:29:37,2021-05-21
SHOT,counter01,42,9212-03,330,08:29:41,2021-05-21
SHOT,counter01,42,9212-03,330,08:29:45,2021-05-21
SHOT,counter01,42,9212-03,330,08:29:50,2021-05-21
SHOT,counter01,42,9212-03,330,08:29:54,2021-05-21
SHOT,counter01,42,9212-03,330,08:29:58,2021-05-21
SHOT,counter01,42,9212-03,330,08:30:02,2021-05-21
SHOT,counter01,42,9212-03,330,08:30:07,2021-05-21
SHOT,counter01,42,9212-03,330,08:30:11,2021-05-21
SHOT,counter01,42,9212-03,330,08:30:17,2021-05-21
SHOT,counter01,42,9212-03,330,08:30:20,2021-05-21
SHOT,counter01,42,9212-03,330,08:30:24,2021-05-21
SHOT,counter01,42,9212-03,330,08:30:28,2021-05-21
SHOT,counter01,42,9212-03,330,08:30:34,2021-05-21
SHOT,counter01,42,9212-03,330,08:30:40,2021-05-21
SHOT,counter01,42,9212-03,330,08:30:47,2021-05-21
SHOT,counter01,42,9212-03,330,08:30:53,2021-05-21
SHOT,counter01,42,9212-03,330,08:30:58,2021-05-21
SHOT,counter01,42,9212-03,330,08:31:01,2021-05-21
SHOT,counter01,42,9212-03,330,08:31:05,2021-05-21
SHOT,counter01,42,9212-03,330,08:31:10,2021-05-21
SHOT,counter01,42,9212-03,330,08:31:14,2021-05-21
SHOT,counter01,42,9212-03,330,08:31:20,2021-05-21
SHOT,counter01,42,9212-03,330,08:31:23,2021-05-21
SHOT,counter01,42,9212-03,330,08:31:27,2021-05-21
SHOT,counter01,42,9212-03,330,08:31:31,2021-05-21
SHOT,counter01,42,9212-03,330,08:31:35,2021-05-21
SHOT,counter01,42,9212-03,330,08:31:39,2021-05-21
SHOT,counter01,42,9212-03,330,08:31:43,2021-05-21
SHOT,counter01,42,9212-03,330,08:31:57,2021-05-21
SHOT,counter01,42,9212-03,330,08:32:01,2021-05-21
SHOT,counter01,42,9212-03,330,08:32:06,2021-05-21
SHOT,counter01,42,9212-03,330,08:32:09,2021-05-21
SHOT,counter01,42,9212-03,330,08:32:14,2021-05-21
SHOT,counter01,42,9212-03,330,08:32:18,2021-05-21
SHOT,counter01,42,9212-03,330,08:32:25,2021-05-21
SHOT,counter01,42,9212-03,330,08:32:29,2021-05-21
SHOT,counter01,42,9212-03,330,08:32:33,2021-05-21
SHOT,counter01,42,9212-03,330,08:32:37,2021-05-21
SHOT,counter01,42,9212-03,330,08:32:41,2021-05-21
SHOT,counter01,42,9212-03,330,08:32:47,2021-05-21
SHOT,counter01,42,9212-03,330,08:32:51,2021-05-21
SHOT,counter01,42,9212-03,330,08:32:55,2021-05-21
SHOT,counter01,42,9212-03,330,08:32:59,2021-05-21
SHOT,counter01,42,9212-03,330,08:33:03,2021-05-21
SHOT,counter01,42,9212-03,330,08:33:07,2021-05-21
SHOT,counter01,42,9212-03,330,08:33:10,2021-05-21
SHOT,counter01,42,9212-03,330,08:33:14,2021-05-21
SHOT,counter01,42,9212-03,330,08:33:18,2021-05-21
SHOT,counter01,42,9212-03,330,08:33:22,2021-05-21
SHOT,counter01,42,9212-03,330,08:33:27,2021-05-21
SHOT,counter01,42,9212-03,330,08:33:30,2021-05-21
SHOT,counter01,42,9212-03,330,08:33:34,2021-05-21
SHOT,counter01,42,9212-03,330,08:33:40,2021-05-21
SHOT,counter01,42,9212-03,330,08:33:44,2021-05-21
SHOT,counter01,42,9212-03,330,08:33:48,2021-05-21
SHOT,counter01,42,9212-03,330,08:33:51,2021-05-21
SHOT,counter01,42,9212-03,330,08:33:55,2021-05-21
SHOT,counter01,42,9212-03,330,08:34:11,2021-05-21
SHOT,counter01,42,9212-03,330,08:34:15,2021-05-21
SHOT,counter01,42,9212-03,330,08:34:18,2021-05-21
SHOT,counter01,42,9212-03,330,08:34:23,2021-05-21
SHOT,counter01,42,9212-03,330,08:34:26,2021-05-21
SHOT,counter01,42,9212-03,330,08:34:30,2021-05-21
SHOT,counter01,42,9212-03,330,08:34:35,2021-05-21
SHOT,counter01,42,9212-03,330,08:34:38,2021-05-21
SHOT,counter01,42,9212-03,330,08:34:44,2021-05-21
SHOT,counter01,42,9212-03,330,08:34:47,2021-05-21
SHOT,counter01,42,9212-03,330,08:34:52,2021-05-21
SHOT,counter01,42,9212-03,330,08:34:56,2021-05-21
SHOT,counter01,42,9212-03,330,08:35:02,2021-05-21
SHOT,counter01,42,9212-03,330,08:35:05,2021-05-21
SHOT,counter01,42,9212-03,330,08:35:10,2021-05-21
SHOT,counter01,42,9212-03,330,08:35:16,2021-05-21
SHOT,counter01,42,9212-03,330,08:35:21,2021-05-21
SHOT,counter01,42,9212-03,330,08:35:26,2021-05-21
SHOT,counter01,42,9212-03,330,08:35:30,2021-05-21
SHOT,counter01,42,9212-03,330,08:35:35,2021-05-21
SHOT,counter01,42,9212-03,330,08:35:40,2021-05-21
SHOT,counter01,42,9212-03,330,08:35:45,2021-05-21
SHOT,counter01,42,9212-03,330,08:35:49,2021-05-21
SHOT,counter01,42,9212-03,330,08:35:54,2021-05-21
SHOT,counter01,42,9212-03,330,08:35:59,2021-05-21
SHOT,counter01,42,9212-03,330,08:36:05,2021-05-21
SHOT,counter01,42,9212-03,330,08:36:09,2021-05-21
SHOT,counter01,42,9212-03,330,08:36:13,2021-05-21
SHOT,counter01,42,9212-03,330,08:36:17,2021-05-21
SHOT,counter01,42,9212-03,330,08:36:22,2021-05-21
SHOT,counter01,42,9212-03,330,08:36:26,2021-05-21
SHOT,counter01,42,9212-03,330,08:36:32,2021-05-21
SHOT,counter01,42,9212-03,330,08:36:36,2021-05-21
SHOT,counter01,42,9212-03,330,08:36:41,2021-05-21
SHOT,counter01,42,9212-03,330,08:36:46,2021-05-21
SHOT,counter01,42,9212-03,330,08:36:50,2021-05-21
SHOT,counter01,42,9212-03,330,08:36:54,2021-05-21
SHOT,counter01,42,9212-03,330,08:36:58,2021-05-21
SHOT,counter01,42,9212-03,330,08:37:02,2021-05-21
SHOT,counter01,42,9212-03,330,08:37:06,2021-05-21
SHOT,counter01,42,9212-03,330,08:37:11,2021-05-21
SHOT,counter01,42,9212-03,330,08:37:16,2021-05-21
SHOT,counter01,42,9212-03,330,08:37:25,2021-05-21
SHOT,counter01,42,9212-03,330,08:37:29,2021-05-21
SHOT,counter01,42,9212-03,330,08:37:33,2021-05-21
SHOT,counter01,42,9212-03,330,08:37:37,2021-05-21
